city_iata,city_name,country_name
APV,Apple Valley,United States Of America
APW,Apia,Samoa
APX,Arapongas,Brazil
APY,Alto Parnaiba,Brazil
APZ,Zapala,Argentina
AQA,Araraquara,Brazil
AQB,Quiche,Guatemala
AQG,Anqing,China
AQI,Qaisumah,Saudi Arabia
AQJ,Aqaba,Jordan
AQM,Ariquemes,Brazil
AQP,Arequipa,Peru
AQS,Saqani,Fiji
AQY,Girdwood,United States Of America
ARA,New Iberia,United States Of America
ARB,Ann Arbor,United States Of America
ARC,Arctic Village,United States Of America
ARD,Alor,Indonesia
ARE,Arecibo,Puerto Rico
ARF,Acaricuara,Colombia
ARG,Walnut Ridge,United States Of America
ARH,Arkhangelsk,Russian Federation
ARI,Arica,Chile
ARJ,Arso,Indonesia
ARK,Arusha,Tanzania United Republic Of
ARL,Arly,Burkina Faso
ARM,Armidale,Australia
ARO,Arboletes,Colombia
ARP,Aragip,Papua New Guinea
ARQ,Arauquita,Colombia
ARR,Alto Rio Senguer,Argentina
ARS,Aragarcas,Brazil
ART,Watertown,United States Of America
ARU,Aracatuba,Brazil
ARV,Minocqua/Woodruff,United States Of America
ARW,Arad,Romania
ARX,Aracati,Brazil
ARY,Ararat,Australia
ARZ,N'zeto,Angola
ASA,Assab,Eritrea
ASB,Ashgabat,Turkmenistan
ASC,Ascension,Bolivia
ASD,Andros Town,Bahamas
ASE,Aspen,United States Of America
ASF,Astrakhan,Russian Federation
ASG,Ashburton,New Zealand
ASH,Nashua,United States Of America
ASI,Ascension Island,Saint Helena
ASJ,Amami,Japan
ASK,Yamoussoukro,Cote D'ivoire
ASL,Marshall,United States Of America
ASM,Asmara,Eritrea
ASN,Talladega,United States Of America
ASO,Asosa,Ethiopia
ASP,Alice Springs,Australia
ASQ,Austin,United States Of America
ASR,Kayseri,Turkey
ASS,Arathusa Safari Lodge,South Africa
AST,Astoria,United States Of America
ASU,Asuncion,Paraguay
ASV,Amboseli,Kenya
ASW,Aswan,Egypt
ASX,Ashland,United States Of America
ASY,Ashley,United States Of America
ASZ,Asirim,Papua New Guinea
ATA,Huaraz,Peru
ATB,Atbara,Sudan
ATC,Arthur's Town,Bahamas
ATD,Atoifi,Solomon Islands
ATE,Antlers,United States Of America
ATF,Ambato,Ecuador
ATG,Attock,Pakistan
ATH,Athens,Greece
ATI,Artigas,Uruguay
ATJ,Antsirabe,Madagascar
ATK,Atqasuk,United States Of America
ATL,Atlanta,United States Of America
ATM,Altamira,Brazil
ATN,Namatanai,Papua New Guinea
ATO,Athens,United States Of America
ATP,Aitape,Papua New Guinea
ATQ,Amritsar,India
ATR,Atar,Mauritania
ATS,Artesia,United States Of America
ATT,Atmautluak,United States Of America
ATU,Attu Island,United States Of America
ATV,Ati,Chad
ATW,Appleton,United States Of America
ATX,Atbasar,Kazakhstan
ATY,Watertown,United States Of America
ATZ,Asyut,Egypt
AUA,Aruba,Aruba
AUB,Itauba,Brazil
AUC,Arauca,Colombia
AUD,Augustus Downs,Australia
AUE,Abu Rudeis,Egypt
AUF,Auxerre,France
AUG,Augusta,United States Of America
AUH,Abu Dhabi,United Arab Emirates
AUI,Aua Island,Papua New Guinea
AUJ,Ambunti,Papua New Guinea
AUK,Alakanuk,United States Of America
AUL,Aur Island,Marshall Islands
AUM,Austin,United States Of America
AUN,Auburn,United States Of America
AUO,Auburn,United States Of America
AUP,Agaun,Papua New Guinea
AUQ,Hiva Oa,French Polynesia
AUR,Aurillac,France
AUS,Austin,United States Of America
AUT,Atauro,Timor-Leste
AUU,Aurukun,Australia
AUV,Aumo,Papua New Guinea
AUW,Wausau,United States Of America
AUX,Araguaina,Brazil
AUY,Aneityum,Vanuatu
AUZ,Aurora,United States Of America
AVA,Anshun,China
AVB,Aviano,Italy
AVF,Avoriaz,France
AVG,Auvergne Station,Australia
AVI,Ciego De Avila,Cuba
AVJ,Avila,Spain
AVK,Arvaikheer,Mongolia
AVL,Asheville/Hendersonville,United States Of America
AVN,Avignon,France
AVO,Avon Park,United States Of America
AVP,Wilkes-Barre/Scranton,United States Of America
AVR,Alverca,Portugal
AVU,Avu Avu,Solomon Islands
AVX,Avalon,United States Of America
AWA,Awasa,Ethiopia
AWB,Awaba,Papua New Guinea
AWD,Aniwa,Vanuatu
AWE,Alowe,Gabon
AWH,Awareh,Ethiopia
AWK,Wake Island,United States Minor Outlying Islands
AWM,West Memphis,United States Of America
AWN,Alton Downs,Australia
AWP,Austral Downs Station,Australia
AWR,Awar,Papua New Guinea
AWZ,Ahwaz,Iran Islamic Republic Of
AXA,Anguilla,"Anguilla, Leeward Islands"
AXB,Alexandria Bay,United States Of America
AXC,Aramac,Australia
AXD,Alexandroupolis,Greece
AXE,Xanxere,Brazil
AXF,Alxa Left Banner,China
AXG,Algona,United States Of America
AXJ,Amakusa,Japan
AXK,Ataq,Yemen
AXL,Alexandria Station,Australia
AXM,Armenia,Colombia
AXN,Alexandria,United States Of America
AXP,Spring Point,Bahamas
AXR,Arutua,French Polynesia
AXT,Akita,Japan
AXU,Axum,Ethiopia
AXV,Wapakoneta,United States Of America
AXX,Angel Fire,United States Of America
AYA,Ayapel,Colombia
AYC,Ayacucho,Colombia
AYD,Alroy Downs,Australia
AYE,Fort Devens,United States Of America
AYG,Yaguara Ii,Colombia
AYH,Alconbury,United Kingdom
AYI,Yari,Colombia
AYK,Arkalyk,Kazakhstan
AYL,Anthony Lagoon,Australia
AYN,Anyang,China
AYO,Ayolas,Paraguay
AYP,Ayacucho,Peru
AYQ,Ayers Rock,Australia
AYR,Ayr,Australia
AYS,Waycross,United States Of America
AYT,Antalya,Turkey
AYU,Aiyura,Papua New Guinea
AYW,Ayawasi,Indonesia
AYX,Atalaya,Peru
AYY,Pottuvil Spb,Sri Lanka
AYZ,Amityville,United States Of America
AZB,Amazon Bay,Papua New Guinea
AZD,Yazd,Iran Islamic Republic Of
AZG,Apatzingan,Mexico
AZL,Sapezal,Brazil
AZN,Andizhan,Uzbekistan
AZO,Kalamazoo/Battle Creek,United States Of America
AZR,Adrar,Algeria
AZS,Samana,Dominican Republic
AZT,Zapatoca,Colombia
AZZ,Ambriz,Angola
BAA,Bialla,Papua New Guinea
BAC,Barranca De Upia,Colombia
BAE,Barcelonnette,France
BAF,Westfield,United States Of America
BAG,Baguio,Philippines
BAH,Bahrain,Bahrain
BAI,Buenos Aires,Costa Rica
BAJ,Bali,Papua New Guinea
BAK,Baku,Azerbaijan
BAL,Batman,Turkey
BAM,Battle Mountain,United States Of America
BAN,Basongo,Congo Democratic Republic Of
BAO,Baia Mare,Romania
BAP,Baibara,Papua New Guinea
BAQ,Barranquilla,Colombia
BAR,Baker Island,United States Of America
BAS,Balalae,Solomon Islands
BAT,Barretos,Brazil
BAV,Baotou,China
BAW,Biawongue,Gabon
BAX,Barnaul,Russian Federation
BAY,Baia Mare,Romania
BAZ,Barcelos,Brazil
BBA,Balmaceda,Chile
BBB,Benson,United States Of America
BBC,Bay City,United States Of America
BBD,Brady,United States Of America
BBE,Buenos Aires Fluvial,Argentina
BBF,Estacion De Benidorm,Spain
BBG,Butaritari,Kiribati
BBH,Stralsund,Germany
BBI,Bhubaneshwar,India
BBJ,Bitburg,Germany
BBK,Kasane,Botswana
BBL,Ballera,Australia
BBM,Battambang,Cambodia
BBN,Bario,Malaysia
BBO,Berbera,Somalia
BBP,Bembridge,United Kingdom
BBQ,Barbuda,"Antigua And Barbuda, Leeward Islands"
BBR,Basse-Terre,Guadeloupe
BBS,Blackbushe,United Kingdom
BBT,Berberati,Central African Republic
BBV,Grand Bereby,Cote D'ivoire
BBW,Broken Bow,United States Of America
BBX,Blue Bell,United States Of America
BBY,Bambari,Central African Republic
BBZ,Zambezi,Zambia
BCA,Baracoa,Cuba
BCB,Blacksburg,United States Of America
BCC,Bear Creek,United States Of America
BCD,Bacolod,Philippines
BCE,Bryce Canyon,United States Of America
BCF,Bouca,Central African Republic
BCG,Bemichi,Guyana
BCH,Baucau,Timor-Leste
BCI,Barcaldine,Australia
BCJ,Baca Grande,United States Of America
BCK,Bolwarra,Australia
BCL,Barra Del Colorado,Costa Rica
BCM,Bacau,Romania
BCN,Barcelona,Spain
BCO,Jinka,Ethiopia
BCP,Bambu,Papua New Guinea
BCQ,Brach,Libya
BCR,Boca Do Acre,Brazil
BCS,Belle Chasse,United States Of America
BCT,Boca Raton,United States Of America
BCU,Bauchi,Nigeria
BCV,Belmopan,Belize
BCW,Benguerra Island,Mozambique
BCX,Beloretsk,Russian Federation
BCY,Bulchi,Ethiopia
BCZ,Bickerton Island,Australia
BDA,Bermuda,Bermuda
BDB,Bundaberg,Australia
BDC,Barra Do Corda,Brazil
BDD,Badu Island,Australia
BDE,Baudette,United States Of America
BDF,Bradford,United States Of America
BDG,Blanding,United States Of America
BDH,Bandar Lengeh,Iran Islamic Republic Of
BDI,Bird Island,Seychelles
BDJ,Banjarmasin,Indonesia
BDK,Bondoukou,Cote D'ivoire
BDM,Bandirma,Turkey
BDN,Badin,Pakistan
BDO,Bandung,Indonesia
BDP,Bhadrapur,Nepal
BDQ,Vadodara,India
BDR,Bridgeport,United States Of America
BDS,Brindisi,Italy
BDT,Gbadolite,Congo Democratic Republic Of
BDU,Bardufoss,Norway
BDV,Moba,Congo Democratic Republic Of
BDW,Bedford Downs,Australia
BDX,Broadus,United States Of America
BDY,Bandon,United States Of America
BDZ,Baindoung,Papua New Guinea
BEA,Bereina,Papua New Guinea
BEB,Benbecula,United Kingdom
BED,Bedford,United States Of America
BEE,Beagle Bay,Australia
BEF,Bluefields,Nicaragua
BEG,Belgrade,Serbia
BEH,Benton Harbor,United States Of America
BEI,Beica,Ethiopia
BEJ,Tanjung Redeb,Indonesia
BEK,Bareilly,India
BEL,Belem,Brazil
BEM,Beni Mellal,Morocco
BEN,Benghazi,Libya
BEP,Bellary,India
BEQ,Bury St Edmunds,United Kingdom
BER,Berlin,Germany
BES,Brest,France
BET,Bethel,United States Of America
BEU,Bedourie,Australia
BEV,Beersheba,Israel
BEW,Beira,Mozambique
BEX,Benson,United Kingdom
BEY,Beirut,Lebanon
BEZ,Beru,Kiribati
BFA,Bahia Negra,Paraguay
BFB,Bilbao,Spain
BFC,Bloomfield River,Australia
BFD,Bradford,United States Of America
BFE,Bielefeld,Germany
BFF,Scottsbluff,United States Of America
BFG,Glen Canyon,United States Of America
BFJ,Bijie,China
BFL,Bakersfield,United States Of America
BFN,Bloemfontein,South Africa
BFO,Chiredzi,Zimbabwe
BFP,Beaver Falls,United States Of America
BFQ,Bahia Pina,Panama
BFR,Bedford,United States Of America
BFS,Belfast,United Kingdom
BFT,Beaufort,United States Of America
BFU,Bengbu,China
BFV,Buriram,Thailand
BFW,Sidi Bel Abbes,Algeria
BFX,Bafoussam,Cameroon
BGA,Bucaramanga,Colombia
BGB,Booue,Gabon
BGC,Braganca,Portugal
BGD,Borger,United States Of America
BGE,Bainbridge,United States Of America
BGF,Bangui,Central African Republic
BGG,Bingol,Turkey
BGH,Bogue,Mauritania
BGI,Barbados,Barbados
BGJ,Borgarfjordur Eystri,Iceland
BGK,Big Creek,Belize
BGL,Baglung,Nepal
BGM,Binghamton,United States Of America
BGN,Belaya Gora,Russian Federation
BGO,Bergen,Norway
BGP,Bongo,Gabon
BGQ,Big Lake,United States Of America
BGR,Bangor,United States Of America
BGT,Bagdad,United States Of America
BGU,Bangassou,Central African Republic
BGV,Bento Goncalves,Brazil
BGW,Baghdad,Iraq
BGX,Bage,Brazil
BGZ,Braga,Portugal
BHA,Bahia De Caraquez,Ecuador
BHB,Bar Harbor,United States Of America
BHC,Bhurban Heliport,Pakistan
BHE,Blenheim,New Zealand
BHF,Cupica,Colombia
BHG,Brus Laguna,Honduras
BHH,Bisha,Saudi Arabia
BHI,Bahia Blanca,Argentina
BHJ,Bhuj,India
BHK,Bukhara,Uzbekistan
BHL,Bahia De Los Angeles,Mexico
BHM,Birmingham,United States Of America
BHN,Beihan,Yemen
BHO,Bhopal,India
BHP,Bhojpur,Nepal
BHQ,Broken Hill,Australia
BHR,Bharatpur,Nepal
BHS,Bathurst,Australia
BHT,Brighton Downs,Australia
BHU,Bhavnagar,India
BHV,Bahawalpur,Pakistan
BHX,Birmingham,United Kingdom
BHY,Beihai,China
BHZ,Belo Horizonte,Brazil
BIA,Bastia,France
BIB,Baidoa,Somalia
BIC,Big Creek,United States Of America
BID,Block Island,United States Of America
BIE,Beatrice,United States Of America
BIG,Delta Junction,United States Of America
BIH,Bishop,United States Of America
BII,Bikini Atoll,Marshall Islands
BIJ,Biliau,Papua New Guinea
BIK,Biak,Indonesia
BIL,Billings,United States Of America
BIM,Bimini,Bahamas
BIN,Bamyan,Afghanistan
BIO,Bilbao,Spain
BIP,Bulimba,Australia
BIQ,Biarritz,France
BIR,Biratnagar,Nepal
BIS,Bismarck,United States Of America
BIT,Baitadi,Nepal
BIU,Bildudalur,Iceland
BIV,Bria,Central African Republic
BIW,Billiluna,Australia
BIX,Gulfport/Biloxi,United States Of America
BIY,Bisho,South Africa
BIZ,Bimin,Papua New Guinea
BJA,Bejaia,Algeria
BJB,Bojnurd,Iran Islamic Republic Of
BJD,Bakkafjordur,Iceland
BJE,Baleela,Sudan
BJF,Batsfjord,Norway
BJG,Kota Mobagu,Indonesia
BJH,Bajhang,Nepal
BJI,Bemidji,United States Of America
BJJ,Wooster,United States Of America
BJK,Nangasuri Aru Island,Indonesia
BJL,Banjul,Gambia
BJM,Bujumbura,Burundi
BJN,Bajone,Mozambique
BJO,Bermejo,Bolivia
BJP,Braganca Paulista,Brazil
BJQ,Bahja,Oman
BJR,Bahar Dar,Ethiopia
BJS,Beijing,China
BJT,Bentota River,Sri Lanka
BJU,Bajura,Nepal
BJV,Bodrum,Turkey
BJW,Bajawa,Indonesia
BJX,Leon/Guanajuato,Mexico
BJZ,Badajoz,Spain
BKB,Bikaner,India
BKC,Buckland,United States Of America
BKD,Breckenridge,United States Of America
BKE,Baker City,United States Of America
BKF,Katmai National Park,United States Of America
BKG,Branson,United States Of America
BKH,Kekaha,United States Of America
BKI,Kota Kinabalu,Malaysia
BKJ,Boke,Guinea
BKK,Bangkok,Thailand
BKM,Bakelalan,Malaysia
BKN,Balkanabat,Turkmenistan
BKO,Bamako,Mali
BKP,Barkly Downs,Australia
BKQ,Blackall,Australia
BKR,Bokoro,Chad
BKS,Bengkulu,Indonesia
BKT,Blackstone/Ft Pickett,United States Of America
BKU,Betioky,Madagascar
BKV,Damao Banner,China
BKW,Beckley,United States Of America
BKX,Brookings,United States Of America
BKY,Bukavu,Congo Democratic Republic Of
BKZ,Bukoba,Tanzania United Republic Of
BLA,Barcelona,Venezuela
BLB,Balboa,Panama
BLC,Bali,Cameroon
BLE,Borlange/Falun,Sweden
BLF,Bluefield/Princeton,United States Of America
BLG,Belaga,Malaysia
BLH,Blythe,United States Of America
BLI,Bellingham,United States Of America
BLJ,Batna,Algeria
BLK,Blackpool,United Kingdom
BLL,Billund,Denmark
BLM,Belmar/Farmingdale,United States Of America
BLN,Benalla,Australia
BLO,Blonduos,Iceland
BLP,Bellavista,Peru
BLQ,Bologna,Italy
BLR,Bengaluru,India
BLS,Bollon,Australia
BLT,Blackwater,Australia
BLU,Emigrant Gap,United States Of America
BLV,Belleville,United States Of America
BLW,Beletwene,Somalia
BLX,Belluno,Italy
BLY,Belmullet,Ireland Republic Of
BLZ,Blantyre,Malawi
BMB,Bumba,Congo Democratic Republic Of
BMC,Brigham City,United States Of America
BMD,Belo Tsiribihina,Madagascar
BME,Broome,Australia
BMF,Bakouma,Central African Republic
BMG,Bloomington,United States Of America
BMH,Bomai,Papua New Guinea
BMI,Bloomington/Normal,United States Of America
BMJ,Baramita,Guyana
BMK,Borkum,Germany
BML,Berlin,United States Of America
BMM,Bitam,Gabon
BMN,Bamarni,Iraq
BMO,Bhamo,Myanmar
BMP,Brampton Island,Australia
BMQ,Bamburi,Kenya
BMR,Baltrum,Germany
BMS,Brumado,Brazil
BMU,Bima,Indonesia
BMV,Ban Me Thuot,Viet Nam
BMW,Bordj Mokhtar,Algeria
BMX,Big Mountain,United States Of America
BMY,Ile Art,New Caledonia
BMZ,Bamu,Papua New Guinea
BNA,Nashville,United States Of America
BNB,Boende,Congo Democratic Republic Of
BNC,Beni,Congo Democratic Republic Of
BND,Bandar Abbas,Iran Islamic Republic Of
BNE,Brisbane,Australia
BNF,Baranof,United States Of America
BNG,Banning,United States Of America
BNI,Benin City,Nigeria
BNK,Ballina,Australia
BNL,Barnwell,United States Of America
BNM,Bodinumu,Papua New Guinea
BNN,Bronnoysund,Norway
BNO,Burns,United States Of America
BNP,Bannu,Pakistan
BNQ,Baganga,Philippines
BNR,Banfora,Burkina Faso
BNS,Barinas,Venezuela
BNT,Bundi,Papua New Guinea
BNU,Blumenau,Brazil
BNV,Boana,Papua New Guinea
BNW,Boone,United States Of America
BNX,Banja Luka,Bosnia And Herzegovina
BNY,Bellona,Solomon Islands
BNZ,Banz,Papua New Guinea
BOA,Boma,Congo Democratic Republic Of
BOB,Bora Bora,French Polynesia
BOC,Bocas Del Toro,Panama
